Period,Type,Index,Location,Zipcode
2020-08-05T05:30:33,pollen,3.2,"Gualala, CA",95445
2020-08-06T05:30:33,pollen,3.2,"Gualala, CA",95445
2020-08-07T05:30:33,pollen,3.5,"Gualala, CA",95445
2020-08-08T05:30:33,pollen,2.7,"Gualala, CA",95445
2020-08-09T05:30:33,pollen,2.4,"Gualala, CA",95445
2020-08-10T05:30:32,pollen,2.8,"Gualala, CA",95445
2020-08-11T05:30:32,pollen,4.7,"Gualala, CA",95445
2020-08-12T05:30:33,pollen,3.1,"Gualala, CA",95445
2020-08-13T05:30:32,pollen,3.6,"Gualala, CA",95445
2020-08-14T05:30:33,pollen,4.9,"Gualala, CA",95445
2020-08-15T05:30:33,pollen,6.0,"Gualala, CA",95445
2020-08-16T05:30:32,pollen,6.3,"Gualala, CA",95445
2020-08-17T05:30:32,pollen,5.6,"Gualala, CA",95445
2020-08-18T05:30:32,pollen,5.3,"Gualala, CA",95445
2020-08-19T05:30:32,pollen,5.2,"Gualala, CA",95445
2020-08-20T05:30:33,pollen,5.2,"Gualala, CA",95445
2020-08-21T05:30:33,pollen,5.8,"Gualala, CA",95445
2020-08-22T05:30:32,pollen,6.7,"Gualala, CA",95445
2020-08-23T05:30:33,pollen,7.5,"Gualala, CA",95445
2020-08-24T05:30:33,pollen,7.4,"Gualala, CA",95445
2020-08-25T05:30:33,pollen,7.9,"Gualala, CA",95445
2020-08-26T05:30:33,pollen,7.9,"Gualala, CA",95445
2020-08-27T05:30:33,pollen,8.9,"Gualala, CA",95445
2020-08-28T05:30:33,pollen,9.2,"Gualala, CA",95445
2020-08-29T05:30:33,pollen,9.3,"Gualala, CA",95445
2020-08-30T05:30:33,pollen,8.2,"Gualala, CA",95445
2020-08-31T05:30:33,pollen,8.3,"Gualala, CA",95445
2020-09-01T05:30:33,pollen,9.2,"Gualala, CA",95445
2020-09-02T05:30:33,pollen,8.8,"Gualala, CA",95445
2020-09-03T05:30:34,pollen,8.1,"Gualala, CA",95445
